activityName,activityCategoryName,activityStartDate [ms],activityStartDate,activityEndDate [ms],activityEndDate,activityDuration [ms],activityDuration
Sleep,Rest,1529693223763,Sat Jun 23 00:17:03 GMT+05:30 2018,1529693950214,Sat Jun 23 00:29:10 GMT+05:30 2018,726451,12 min
Break,Health,1529693950214,Sat Jun 23 00:29:10 GMT+05:30 2018,1529695046835,Sat Jun 23 00:47:26 GMT+05:30 2018,1096621,18 min
Sleep,Rest,1529695046835,Sat Jun 23 00:47:26 GMT+05:30 2018,1529715663411,Sat Jun 23 06:31:03 GMT+05:30 2018,20616576,5 h 43 min
morning routine,Chores,1529715663411,Sat Jun 23 06:31:03 GMT+05:30 2018,1529718340000,Sat Jun 23 07:15:40 GMT+05:30 2018,2676589,44 min
Commute,Transport,1529718340000,Sat Jun 23 07:15:40 GMT+05:30 2018,1529718927437,Sat Jun 23 07:25:27 GMT+05:30 2018,587437,9 min
classes,Work,1529718927437,Sat Jun 23 07:25:27 GMT+05:30 2018,1529737901037,Sat Jun 23 12:41:41 GMT+05:30 2018,18973600,5 h 16 min
Commute,Transport,1529737901037,Sat Jun 23 12:41:41 GMT+05:30 2018,1529739205734,Sat Jun 23 13:03:25 GMT+05:30 2018,1304697,21 min
Eating,Eating,1529739205734,Sat Jun 23 13:03:25 GMT+05:30 2018,1529741121989,Sat Jun 23 13:35:21 GMT+05:30 2018,1916255,31 min
sleeping in the day,Rest,1529741121989,Sat Jun 23 13:35:21 GMT+05:30 2018,1529753204819,Sat Jun 23 16:56:44 GMT+05:30 2018,12082830,3 h 21 min
WSWS,Wasted Time,1529753204819,Sat Jun 23 16:56:44 GMT+05:30 2018,1529759000751,Sat Jun 23 18:33:20 GMT+05:30 2018,5795932,1 h 36 min
Break,Health,1529759000751,Sat Jun 23 18:33:20 GMT+05:30 2018,1529761017958,Sat Jun 23 19:06:57 GMT+05:30 2018,2017207,33 min
studying,Work,1529761017958,Sat Jun 23 19:06:57 GMT+05:30 2018,1529763453468,Sat Jun 23 19:47:33 GMT+05:30 2018,2435510,40 min
Sleep,Rest,1529763453468,Sat Jun 23 19:47:33 GMT+05:30 2018,1529765245207,Sat Jun 23 20:17:25 GMT+05:30 2018,1791739,29 min
studying,Work,1529765245207,Sat Jun 23 20:17:25 GMT+05:30 2018,1529768095320,Sat Jun 23 21:04:55 GMT+05:30 2018,2850113,47 min
internet time waste,Wasted Time,1529768095320,Sat Jun 23 21:04:55 GMT+05:30 2018,1529788464113,Sun Jun 24 02:44:24 GMT+05:30 2018,20368793,5 h 39 min
Sleep,Rest,1529788464113,Sun Jun 24 02:44:24 GMT+05:30 2018,1529813320099,Sun Jun 24 09:38:40 GMT+05:30 2018,24855986,6 h 54 min
morning routine,Chores,1529813320099,Sun Jun 24 09:38:40 GMT+05:30 2018,1529813786340,Sun Jun 24 09:46:26 GMT+05:30 2018,466241,7 min
Eating,Eating,1529813786340,Sun Jun 24 09:46:26 GMT+05:30 2018,1529818441446,Sun Jun 24 11:04:01 GMT+05:30 2018,4655106,1 h 17 min
internet time waste,Wasted Time,1529818441446,Sun Jun 24 11:04:01 GMT+05:30 2018,1529819987528,Sun Jun 24 11:29:47 GMT+05:30 2018,1546082,25 min
morning routine,Chores,1529819987528,Sun Jun 24 11:29:47 GMT+05:30 2018,1529822368177,Sun Jun 24 12:09:28 GMT+05:30 2018,2380649,39 min
internet time waste,Wasted Time,1529822368177,Sun Jun 24 12:09:28 GMT+05:30 2018,1529822867235,Sun Jun 24 12:17:47 GMT+05:30 2018,499058,8 min
Eating,Eating,1529822867235,Sun Jun 24 12:17:47 GMT+05:30 2018,1529826924785,Sun Jun 24 13:25:24 GMT+05:30 2018,4057550,1 h 7 min
internet time waste,Wasted Time,1529826924785,Sun Jun 24 13:25:24 GMT+05:30 2018,1529828111093,Sun Jun 24 13:45:11 GMT+05:30 2018,1186308,19 min
planning,Personal Tasks,1529828111093,Sun Jun 24 13:45:11 GMT+05:30 2018,1529829321389,Sun Jun 24 14:05:21 GMT+05:30 2018,1210296,20 min
studying,Work,1529829321389,Sun Jun 24 14:05:21 GMT+05:30 2018,1529833127504,Sun Jun 24 15:08:47 GMT+05:30 2018,3806115,1 h 3 min
Break,Health,1529833127504,Sun Jun 24 15:08:47 GMT+05:30 2018,1529833910434,Sun Jun 24 15:21:50 GMT+05:30 2018,782930,13 min
studying,Work,1529833910434,Sun Jun 24 15:21:50 GMT+05:30 2018,1529835517364,Sun Jun 24 15:48:37 GMT+05:30 2018,1606930,26 min
Break,Health,1529835517364,Sun Jun 24 15:48:37 GMT+05:30 2018,1529836087468,Sun Jun 24 15:58:07 GMT+05:30 2018,570104,9 min
studying,Work,1529836087468,Sun Jun 24 15:58:07 GMT+05:30 2018,1529839160743,Sun Jun 24 16:49:20 GMT+05:30 2018,3073275,51 min
Break,Health,1529839160743,Sun Jun 24 16:49:20 GMT+05:30 2018,1529842015046,Sun Jun 24 17:36:55 GMT+05:30 2018,2854303,47 min
studying,Work,1529842015046,Sun Jun 24 17:36:55 GMT+05:30 2018,1529845274082,Sun Jun 24 18:31:14 GMT+05:30 2018,3259036,54 min
wasting time ,Wasted Time,1529845274082,Sun Jun 24 18:31:14 GMT+05:30 2018,1529847785199,Sun Jun 24 19:13:05 GMT+05:30 2018,2511117,41 min
wasting time ,Wasted Time,1529847785199,Sun Jun 24 19:13:05 GMT+05:30 2018,1529848388229,Sun Jun 24 19:23:08 GMT+05:30 2018,603030,10 min
Eating,Eating,1529848388229,Sun Jun 24 19:23:08 GMT+05:30 2018,1529850919784,Sun Jun 24 20:05:19 GMT+05:30 2018,2531555,42 min
Commute,Transport,1529850919784,Sun Jun 24 20:05:19 GMT+05:30 2018,1529851338737,Sun Jun 24 20:12:18 GMT+05:30 2018,418953,6 min
internet time waste,Wasted Time,1529851338737,Sun Jun 24 20:12:18 GMT+05:30 2018,1529853505121,Sun Jun 24 20:48:25 GMT+05:30 2018,2166384,36 min
studying,Work,1529853505121,Sun Jun 24 20:48:25 GMT+05:30 2018,1529858099149,Sun Jun 24 22:04:59 GMT+05:30 2018,4594028,1 h 16 min
internet time waste,Wasted Time,1529858099149,Sun Jun 24 22:04:59 GMT+05:30 2018,1529864242044,Sun Jun 24 23:47:22 GMT+05:30 2018,6142895,1 h 42 min
Sleep,Rest,1529864242044,Sun Jun 24 23:47:22 GMT+05:30 2018,1529888413664,Mon Jun 25 06:30:13 GMT+05:30 2018,24171620,6 h 42 min
morning routine,Chores,1529888413664,Mon Jun 25 06:30:13 GMT+05:30 2018,1529890541226,Mon Jun 25 07:05:41 GMT+05:30 2018,2127562,35 min
classes,Work,1529890541226,Mon Jun 25 07:05:41 GMT+05:30 2018,1529911329435,Mon Jun 25 12:52:09 GMT+05:30 2018,20788209,5 h 46 min
Eating,Eating,1529911329435,Mon Jun 25 12:52:09 GMT+05:30 2018,1529915697057,Mon Jun 25 14:04:57 GMT+05:30 2018,4367622,1 h 12 min
wasting time ,Wasted Time,1529917272511,Mon Jun 25 14:31:12 GMT+05:30 2018,1529925173936,Mon Jun 25 16:42:53 GMT+05:30 2018,7901425,2 h 11 min
Sleep,Rest,1529925173936,Mon Jun 25 16:42:53 GMT+05:30 2018,1529927706230,Mon Jun 25 17:25:06 GMT+05:30 2018,2532294,42 min
planning,Personal Tasks,1529927706230,Mon Jun 25 17:25:06 GMT+05:30 2018,1529929121123,Mon Jun 25 17:48:41 GMT+05:30 2018,1414893,23 min
studying,Work,1529929121123,Mon Jun 25 17:48:41 GMT+05:30 2018,1529932458373,Mon Jun 25 18:44:18 GMT+05:30 2018,3337250,55 min
Break,Health,1529932458373,Mon Jun 25 18:44:18 GMT+05:30 2018,1529933195420,Mon Jun 25 18:56:35 GMT+05:30 2018,737047,12 min
studying,Work,1529933195420,Mon Jun 25 18:56:35 GMT+05:30 2018,1529936054632,Mon Jun 25 19:44:14 GMT+05:30 2018,2859212,47 min
Eating,Eating,1529936054632,Mon Jun 25 19:44:14 GMT+05:30 2018,1529938311971,Mon Jun 25 20:21:51 GMT+05:30 2018,2257339,37 min
internet time waste,Wasted Time,1529938311971,Mon Jun 25 20:21:51 GMT+05:30 2018,1529949848615,Mon Jun 25 23:34:08 GMT+05:30 2018,11536644,3 h 12 min
morning routine,Chores,1529949848615,Mon Jun 25 23:34:08 GMT+05:30 2018,1529951408467,Tue Jun 26 00:00:08 GMT+05:30 2018,1559852,25 min
Sleep,Rest,1529951408467,Tue Jun 26 00:00:08 GMT+05:30 2018,1529977028467,Tue Jun 26 07:07:08 GMT+05:30 2018,25620000,7 h 7 min
Commute,Transport,1529977028467,Tue Jun 26 07:07:08 GMT+05:30 2018,1529977934177,Tue Jun 26 07:22:14 GMT+05:30 2018,905710,15 min
classes,Work,1529977934177,Tue Jun 26 07:22:14 GMT+05:30 2018,1529998733956,Tue Jun 26 13:08:53 GMT+05:30 2018,20799779,5 h 46 min
sleeping in the day,Rest,1529998733956,Tue Jun 26 13:08:53 GMT+05:30 2018,1530006090988,Tue Jun 26 15:11:30 GMT+05:30 2018,7357032,2 h 2 min
wasting time ,Wasted Time,1530006090988,Tue Jun 26 15:11:30 GMT+05:30 2018,1530009510988,Tue Jun 26 16:08:30 GMT+05:30 2018,3420000,57 min
Break,Health,1530009510988,Tue Jun 26 16:08:30 GMT+05:30 2018,1530010037527,Tue Jun 26 16:17:17 GMT+05:30 2018,526539,8 min
studying,Work,1530010037527,Tue Jun 26 16:17:17 GMT+05:30 2018,1530016959091,Tue Jun 26 18:12:39 GMT+05:30 2018,6921564,1 h 55 min
Break,Health,1530016959091,Tue Jun 26 18:12:39 GMT+05:30 2018,1530019167280,Tue Jun 26 18:49:27 GMT+05:30 2018,2208189,36 min
studying,Work,1530019167280,Tue Jun 26 18:49:27 GMT+05:30 2018,1530020553419,Tue Jun 26 19:12:33 GMT+05:30 2018,1386139,23 min
Break,Health,1530020553419,Tue Jun 26 19:12:33 GMT+05:30 2018,1530023264706,Tue Jun 26 19:57:44 GMT+05:30 2018,2711287,45 min
Eating,Eating,1530023264706,Tue Jun 26 19:57:44 GMT+05:30 2018,1530025121342,Tue Jun 26 20:28:41 GMT+05:30 2018,1856636,30 min
wasting time ,Wasted Time,1530025121342,Tue Jun 26 20:28:41 GMT+05:30 2018,1530026593199,Tue Jun 26 20:53:13 GMT+05:30 2018,1471857,24 min
internet time waste,Wasted Time,1530026593199,Tue Jun 26 20:53:13 GMT+05:30 2018,1530032854035,Tue Jun 26 22:37:34 GMT+05:30 2018,6260836,1 h 44 min
wasting time ,Wasted Time,1530032854035,Tue Jun 26 22:37:34 GMT+05:30 2018,1530033848541,Tue Jun 26 22:54:08 GMT+05:30 2018,994506,16 min
studying,Work,1530033848541,Tue Jun 26 22:54:08 GMT+05:30 2018,1530037770708,Tue Jun 26 23:59:30 GMT+05:30 2018,3922167,1 h 5 min
Sleep,Rest,1530037770708,Tue Jun 26 23:59:30 GMT+05:30 2018,1530063391496,Wed Jun 27 07:06:31 GMT+05:30 2018,25620788,7 h 7 min
Commute,Transport,1530063391496,Wed Jun 27 07:06:31 GMT+05:30 2018,1530064553264,Wed Jun 27 07:25:53 GMT+05:30 2018,1161768,19 min
classes,Work,1530064553264,Wed Jun 27 07:25:53 GMT+05:30 2018,1530084817892,Wed Jun 27 13:03:37 GMT+05:30 2018,20264628,5 h 37 min
Commute,Transport,1530084817892,Wed Jun 27 13:03:37 GMT+05:30 2018,1530086214594,Wed Jun 27 13:26:54 GMT+05:30 2018,1396702,23 min
Eating,Eating,1530086214594,Wed Jun 27 13:26:54 GMT+05:30 2018,1530087954158,Wed Jun 27 13:55:54 GMT+05:30 2018,1739564,28 min
sleeping in the day,Rest,1530087954158,Wed Jun 27 13:55:54 GMT+05:30 2018,1530100816391,Wed Jun 27 17:30:16 GMT+05:30 2018,12862233,3 h 34 min
wasting time ,Wasted Time,1530100816391,Wed Jun 27 17:30:16 GMT+05:30 2018,1530103378184,Wed Jun 27 18:12:58 GMT+05:30 2018,2561793,42 min
studying,Work,1530103378184,Wed Jun 27 18:12:58 GMT+05:30 2018,1530108648909,Wed Jun 27 19:40:48 GMT+05:30 2018,5270725,1 h 27 min
Eating,Eating,1530108648909,Wed Jun 27 19:40:48 GMT+05:30 2018,1530111560157,Wed Jun 27 20:29:20 GMT+05:30 2018,2911248,48 min
studying,Work,1530111560157,Wed Jun 27 20:29:20 GMT+05:30 2018,1530119601432,Wed Jun 27 22:43:21 GMT+05:30 2018,8041275,2 h 14 min
Break,Health,1530119601432,Wed Jun 27 22:43:21 GMT+05:30 2018,1530121680825,Wed Jun 27 23:18:00 GMT+05:30 2018,2079393,34 min
studying,Work,1530121680825,Wed Jun 27 23:18:00 GMT+05:30 2018,1530123404334,Wed Jun 27 23:46:44 GMT+05:30 2018,1723509,28 min
internet time waste,Wasted Time,1530123404334,Wed Jun 27 23:46:44 GMT+05:30 2018,1530128610294,Thu Jun 28 01:13:30 GMT+05:30 2018,5205960,1 h 26 min
studying,Work,1530128610294,Thu Jun 28 01:13:30 GMT+05:30 2018,1530136575159,Thu Jun 28 03:26:15 GMT+05:30 2018,7964865,2 h 12 min
Sleep,Rest,1530136575159,Thu Jun 28 03:26:15 GMT+05:30 2018,1530149142141,Thu Jun 28 06:55:42 GMT+05:30 2018,12566982,3 h 29 min
morning routine,Chores,1530149142141,Thu Jun 28 06:55:42 GMT+05:30 2018,1530149802141,Thu Jun 28 07:06:42 GMT+05:30 2018,660000,11 min
classes,Work,1530149802141,Thu Jun 28 07:06:42 GMT+05:30 2018,1530171342141,Thu Jun 28 13:05:42 GMT+05:30 2018,21540000,5 h 59 min
Commute,Transport,1530171342141,Thu Jun 28 13:05:42 GMT+05:30 2018,1530172062141,Thu Jun 28 13:17:42 GMT+05:30 2018,720000,12 min
Eating,Eating,1530172062141,Thu Jun 28 13:17:42 GMT+05:30 2018,1530173140856,Thu Jun 28 13:35:40 GMT+05:30 2018,1078715,17 min
sleeping in the day,Rest,1530173140856,Thu Jun 28 13:35:40 GMT+05:30 2018,1530183359782,Thu Jun 28 16:25:59 GMT+05:30 2018,10218926,2 h 50 min
wasting time ,Wasted Time,1530183359782,Thu Jun 28 16:25:59 GMT+05:30 2018,1530184084316,Thu Jun 28 16:38:04 GMT+05:30 2018,724534,12 min
planning,Personal Tasks,1530184084316,Thu Jun 28 16:38:04 GMT+05:30 2018,1530186141291,Thu Jun 28 17:12:21 GMT+05:30 2018,2056975,34 min
wasting time ,Wasted Time,1530186141291,Thu Jun 28 17:12:21 GMT+05:30 2018,1530188159625,Thu Jun 28 17:45:59 GMT+05:30 2018,2018334,33 min
studying,Work,1530188159625,Thu Jun 28 17:45:59 GMT+05:30 2018,1530193859625,Thu Jun 28 19:20:59 GMT+05:30 2018,5700000,1 h 35 min
Break,Health,1530193859625,Thu Jun 28 19:20:59 GMT+05:30 2018,1530194706742,Thu Jun 28 19:35:06 GMT+05:30 2018,847117,14 min
Eating,Eating,1530194706742,Thu Jun 28 19:35:06 GMT+05:30 2018,1530197547530,Thu Jun 28 20:22:27 GMT+05:30 2018,2840788,47 min
studying,Work,1530197547530,Thu Jun 28 20:22:27 GMT+05:30 2018,1530216750559,Fri Jun 29 01:42:30 GMT+05:30 2018,19203029,5 h 20 min
Sleep,Rest,1530216750559,Fri Jun 29 01:42:30 GMT+05:30 2018,1530234670573,Fri Jun 29 06:41:10 GMT+05:30 2018,17920014,4 h 58 min
classes,Work,1530234670573,Fri Jun 29 06:41:10 GMT+05:30 2018,1530240986260,Fri Jun 29 08:26:26 GMT+05:30 2018,6315687,1 h 45 min
morning routine,Chores,1530240986260,Fri Jun 29 08:26:26 GMT+05:30 2018,1530242546260,Fri Jun 29 08:52:26 GMT+05:30 2018,1560000,26 min
Commute,Transport,1530242546260,Fri Jun 29 08:52:26 GMT+05:30 2018,1530243146260,Fri Jun 29 09:02:26 GMT+05:30 2018,600000,10 min
Commute,Transport,1530243146260,Fri Jun 29 09:02:26 GMT+05:30 2018,1530243746260,Fri Jun 29 09:12:26 GMT+05:30 2018,600000,10 min
classes,Work,1530243746260,Fri Jun 29 09:12:26 GMT+05:30 2018,1530257825560,Fri Jun 29 13:07:05 GMT+05:30 2018,14079300,3 h 54 min
Eating,Eating,1530257825560,Fri Jun 29 13:07:05 GMT+05:30 2018,1530258785560,Fri Jun 29 13:23:05 GMT+05:30 2018,960000,16 min
sleeping in the day,Rest,1530258785560,Fri Jun 29 13:23:05 GMT+05:30 2018,1530268600574,Fri Jun 29 16:06:40 GMT+05:30 2018,9815014,2 h 43 min
wasting time ,Wasted Time,1530268600574,Fri Jun 29 16:06:40 GMT+05:30 2018,1530270842273,Fri Jun 29 16:44:02 GMT+05:30 2018,2241699,37 min
studying,Work,1530270842273,Fri Jun 29 16:44:02 GMT+05:30 2018,1530271747681,Fri Jun 29 16:59:07 GMT+05:30 2018,905408,15 min
morning routine,Chores,1530271747681,Fri Jun 29 16:59:07 GMT+05:30 2018,1530273129217,Fri Jun 29 17:22:09 GMT+05:30 2018,1381536,23 min
wasting time ,Wasted Time,1530273129217,Fri Jun 29 17:22:09 GMT+05:30 2018,1530273789217,Fri Jun 29 17:33:09 GMT+05:30 2018,660000,11 min
studying,Work,1530273789217,Fri Jun 29 17:33:09 GMT+05:30 2018,1530277041450,Fri Jun 29 18:27:21 GMT+05:30 2018,3252233,54 min
Break,Health,1530277041450,Fri Jun 29 18:27:21 GMT+05:30 2018,1530277416471,Fri Jun 29 18:33:36 GMT+05:30 2018,375021,6 min
studying,Work,1530277416471,Fri Jun 29 18:33:36 GMT+05:30 2018,1530279787175,Fri Jun 29 19:13:07 GMT+05:30 2018,2370704,39 min
Eating,Eating,1530279787175,Fri Jun 29 19:13:07 GMT+05:30 2018,1530282787175,Fri Jun 29 20:03:07 GMT+05:30 2018,3000000,50 min
other personal tasks,Personal Tasks,1530282787175,Fri Jun 29 20:03:07 GMT+05:30 2018,1530286313617,Fri Jun 29 21:01:53 GMT+05:30 2018,3526442,58 min
studying,Work,1530286313617,Fri Jun 29 21:01:53 GMT+05:30 2018,1530291833617,Fri Jun 29 22:33:53 GMT+05:30 2018,5520000,1 h 32 min
wasting time ,Wasted Time,1530291833617,Fri Jun 29 22:33:53 GMT+05:30 2018,1530295493617,Fri Jun 29 23:34:53 GMT+05:30 2018,3660000,1 h 1 min
internet time waste,Wasted Time,1530295493617,Fri Jun 29 23:34:53 GMT+05:30 2018,1530296812842,Fri Jun 29 23:56:52 GMT+05:30 2018,1319225,21 min
wasting time ,Wasted Time,1530296812842,Fri Jun 29 23:56:52 GMT+05:30 2018,1530300713296,Sat Jun 30 01:01:53 GMT+05:30 2018,3900454,1 h 5 min
Sleep,Rest,1530300713296,Sat Jun 30 01:01:53 GMT+05:30 2018,1530321425517,Sat Jun 30 06:47:05 GMT+05:30 2018,20712221,5 h 45 min
morning routine,Chores,1530321425517,Sat Jun 30 06:47:05 GMT+05:30 2018,1530322356098,Sat Jun 30 07:02:36 GMT+05:30 2018,930581,15 min
classes,Work,1530322356098,Sat Jun 30 07:02:36 GMT+05:30 2018,1530343176098,Sat Jun 30 12:49:36 GMT+05:30 2018,20820000,5 h 47 min
Commute,Transport,1530343176098,Sat Jun 30 12:49:36 GMT+05:30 2018,1530344676098,Sat Jun 30 13:14:36 GMT+05:30 2018,1500000,25 min
Eating,Eating,1530344676098,Sat Jun 30 13:14:36 GMT+05:30 2018,1530346408747,Sat Jun 30 13:43:28 GMT+05:30 2018,1732649,28 min
sleeping in the day,Rest,1530346408747,Sat Jun 30 13:43:28 GMT+05:30 2018,1530354208747,Sat Jun 30 15:53:28 GMT+05:30 2018,7800000,2 h 10 min
wasting time ,Wasted Time,1530354208747,Sat Jun 30 15:53:28 GMT+05:30 2018,1530366292463,Sat Jun 30 19:14:52 GMT+05:30 2018,12083716,3 h 21 min
wasting time ,Wasted Time,1530366292463,Sat Jun 30 19:14:52 GMT+05:30 2018,1530370132463,Sat Jun 30 20:18:52 GMT+05:30 2018,3840000,1 h 4 min
Eating,Eating,1530370132463,Sat Jun 30 20:18:52 GMT+05:30 2018,1530371692463,Sat Jun 30 20:44:52 GMT+05:30 2018,1560000,26 min
other personal tasks,Personal Tasks,1530371692463,Sat Jun 30 20:44:52 GMT+05:30 2018,1530375311440,Sat Jun 30 21:45:11 GMT+05:30 2018,3618977,1 h 
wasting time ,Wasted Time,1530375311440,Sat Jun 30 21:45:11 GMT+05:30 2018,1530378463039,Sat Jun 30 22:37:43 GMT+05:30 2018,3151599,52 min
studying,Work,1530378463039,Sat Jun 30 22:37:43 GMT+05:30 2018,1530383222600,Sat Jun 30 23:57:02 GMT+05:30 2018,4759561,1 h 19 min
wasting time ,Wasted Time,1530383222600,Sat Jun 30 23:57:02 GMT+05:30 2018,1530387316630,Sun Jul 01 01:05:16 GMT+05:30 2018,4094030,1 h 8 min
Sleep,Rest,1530387316630,Sun Jul 01 01:05:16 GMT+05:30 2018,1530411248604,Sun Jul 01 07:44:08 GMT+05:30 2018,23931974,6 h 38 min
Sleep,Rest,1530411248604,Sun Jul 01 07:44:08 GMT+05:30 2018,1530417872489,Sun Jul 01 09:34:32 GMT+05:30 2018,6623885,1 h 50 min
wasting time ,Wasted Time,1530417872489,Sun Jul 01 09:34:32 GMT+05:30 2018,1530421232489,Sun Jul 01 10:30:32 GMT+05:30 2018,3360000,56 min
studying,Work,1530421232489,Sun Jul 01 10:30:32 GMT+05:30 2018,1530426510615,Sun Jul 01 11:58:30 GMT+05:30 2018,5278126,1 h 27 min
Eating,Eating,1530426510615,Sun Jul 01 11:58:30 GMT+05:30 2018,1530429870615,Sun Jul 01 12:54:30 GMT+05:30 2018,3360000,56 min
wasting time ,Wasted Time,1530429870615,Sun Jul 01 12:54:30 GMT+05:30 2018,1530433386075,Sun Jul 01 13:53:06 GMT+05:30 2018,3515460,58 min
studying,Work,1530433386075,Sun Jul 01 13:53:06 GMT+05:30 2018,1530440973273,Sun Jul 01 15:59:33 GMT+05:30 2018,7587198,2 h 6 min
wasting time ,Wasted Time,1530440973273,Sun Jul 01 15:59:33 GMT+05:30 2018,1530444385990,Sun Jul 01 16:56:25 GMT+05:30 2018,3412717,56 min
studying,Work,1530444385990,Sun Jul 01 16:56:25 GMT+05:30 2018,1530446036883,Sun Jul 01 17:23:56 GMT+05:30 2018,1650893,27 min
reward!,reward,1530446036883,Sun Jul 01 17:23:56 GMT+05:30 2018,1530464576883,Sun Jul 01 22:32:56 GMT+05:30 2018,18540000,5 h 9 min
wasting time ,Wasted Time,1530464576883,Sun Jul 01 22:32:56 GMT+05:30 2018,1530476721822,Mon Jul 02 01:55:21 GMT+05:30 2018,12144939,3 h 22 min
Sleep,Rest,1530476721822,Mon Jul 02 01:55:21 GMT+05:30 2018,1530493701822,Mon Jul 02 06:38:21 GMT+05:30 2018,16980000,4 h 43 min
Commute,Transport,1530493701822,Mon Jul 02 06:38:21 GMT+05:30 2018,1530494421822,Mon Jul 02 06:50:21 GMT+05:30 2018,720000,12 min
classes,Work,1530494421822,Mon Jul 02 06:50:21 GMT+05:30 2018,1530501381822,Mon Jul 02 08:46:21 GMT+05:30 2018,6960000,1 h 56 min
internet time waste,Wasted Time,1530501381822,Mon Jul 02 08:46:21 GMT+05:30 2018,1530503806692,Mon Jul 02 09:26:46 GMT+05:30 2018,2424870,40 min
morning routine,Chores,1530503806692,Mon Jul 02 09:26:46 GMT+05:30 2018,1530505126692,Mon Jul 02 09:48:46 GMT+05:30 2018,1320000,22 min
classes,Work,1530505126692,Mon Jul 02 09:48:46 GMT+05:30 2018,1530517546692,Mon Jul 02 13:15:46 GMT+05:30 2018,12420000,3 h 27 min
other personal tasks,Personal Tasks,1530517546692,Mon Jul 02 13:15:46 GMT+05:30 2018,1530522668416,Mon Jul 02 14:41:08 GMT+05:30 2018,5121724,1 h 25 min
sleeping in the day,Rest,1530522668416,Mon Jul 02 14:41:08 GMT+05:30 2018,1530534488416,Mon Jul 02 17:58:08 GMT+05:30 2018,11820000,3 h 17 min
internet time waste,Wasted Time,1530534488416,Mon Jul 02 17:58:08 GMT+05:30 2018,1530537671294,Mon Jul 02 18:51:11 GMT+05:30 2018,3182878,53 min
Commute,Transport,1530537671294,Mon Jul 02 18:51:11 GMT+05:30 2018,1530538031294,Mon Jul 02 18:57:11 GMT+05:30 2018,360000,6 min
other personal tasks,Personal Tasks,1530538031294,Mon Jul 02 18:57:11 GMT+05:30 2018,1530540717566,Mon Jul 02 19:41:57 GMT+05:30 2018,2686272,44 min
Eating,Eating,1530540717566,Mon Jul 02 19:41:57 GMT+05:30 2018,1530541737566,Mon Jul 02 19:58:57 GMT+05:30 2018,1020000,17 min
wasting time ,Wasted Time,1530541737566,Mon Jul 02 19:58:57 GMT+05:30 2018,1530544381178,Mon Jul 02 20:43:01 GMT+05:30 2018,2643612,44 min
studying,Work,1530544381178,Mon Jul 02 20:43:01 GMT+05:30 2018,1530548540977,Mon Jul 02 21:52:20 GMT+05:30 2018,4159799,1 h 9 min
internet time waste,Wasted Time,1530548540977,Mon Jul 02 21:52:20 GMT+05:30 2018,1530550521516,Mon Jul 02 22:25:21 GMT+05:30 2018,1980539,33 min
studying,Work,1530550521516,Mon Jul 02 22:25:21 GMT+05:30 2018,1530553701516,Mon Jul 02 23:18:21 GMT+05:30 2018,3180000,53 min
morning routine,Chores,1530553701516,Mon Jul 02 23:18:21 GMT+05:30 2018,1530554481516,Mon Jul 02 23:31:21 GMT+05:30 2018,780000,13 min
Sleep,Rest,1530554481516,Mon Jul 02 23:31:21 GMT+05:30 2018,1530583777397,Tue Jul 03 07:39:37 GMT+05:30 2018,29295881,8 h 8 min
classes,Work,1530583777397,Tue Jul 03 07:39:37 GMT+05:30 2018,1530604783418,Tue Jul 03 13:29:43 GMT+05:30 2018,21006021,5 h 50 min
Commute,Transport,1530604783418,Tue Jul 03 13:29:43 GMT+05:30 2018,1530605863418,Tue Jul 03 13:47:43 GMT+05:30 2018,1080000,18 min
Eating,Eating,1530605863418,Tue Jul 03 13:47:43 GMT+05:30 2018,1530607345006,Tue Jul 03 14:12:25 GMT+05:30 2018,1481588,24 min
sleeping in the day,Rest,1530607345006,Tue Jul 03 14:12:25 GMT+05:30 2018,1530615580536,Tue Jul 03 16:29:40 GMT+05:30 2018,8235530,2 h 17 min
studying,Work,1530615580536,Tue Jul 03 16:29:40 GMT+05:30 2018,1530619540536,Tue Jul 03 17:35:40 GMT+05:30 2018,3960000,1 h 6 min
WSWS,Wasted Time,1530619540536,Tue Jul 03 17:35:40 GMT+05:30 2018,1530620712418,Tue Jul 03 17:55:12 GMT+05:30 2018,1171882,19 min
wasting time ,Wasted Time,1530620712418,Tue Jul 03 17:55:12 GMT+05:30 2018,1530625921797,Tue Jul 03 19:22:01 GMT+05:30 2018,5209379,1 h 26 min
Eating,Eating,1530625921797,Tue Jul 03 19:22:01 GMT+05:30 2018,1530629521797,Tue Jul 03 20:22:01 GMT+05:30 2018,3600000,1 h 
studying,Work,1530629521797,Tue Jul 03 20:22:01 GMT+05:30 2018,1530635883361,Tue Jul 03 22:08:03 GMT+05:30 2018,6361564,1 h 46 min
morning routine,Chores,1530635883361,Tue Jul 03 22:08:03 GMT+05:30 2018,1530638583361,Tue Jul 03 22:53:03 GMT+05:30 2018,2700000,45 min
Sleep,Rest,1530638583361,Tue Jul 03 22:53:03 GMT+05:30 2018,1530670315586,Wed Jul 04 07:41:55 GMT+05:30 2018,31732225,8 h 48 min
Commute,Transport,1530670315586,Wed Jul 04 07:41:55 GMT+05:30 2018,1530671035586,Wed Jul 04 07:53:55 GMT+05:30 2018,720000,12 min
