activityName,activityCategoryName,activityStartDate [ms],activityStartDate,activityEndDate [ms],activityEndDate,activityDuration [ms],activityDuration
classes,Work,1558407487696,Tue May 21 08:28:07 GMT+05:30 2019,1558421185759,Tue May 21 12:16:25 GMT+05:30 2019,13698063,3 h 48 min
Commute,Transport,1558421185759,Tue May 21 12:16:25 GMT+05:30 2019,1558422390426,Tue May 21 12:36:30 GMT+05:30 2019,1204667,20 min
Eating,Eating,1558422390426,Tue May 21 12:36:30 GMT+05:30 2019,1558424230422,Tue May 21 13:07:10 GMT+05:30 2019,1839996,30 min
Break,Health,1558424230422,Tue May 21 13:07:10 GMT+05:30 2019,1558425948687,Tue May 21 13:35:48 GMT+05:30 2019,1718265,28 min
other personal tasks,Personal Tasks,1558425948687,Tue May 21 13:35:48 GMT+05:30 2019,1558426858523,Tue May 21 13:50:58 GMT+05:30 2019,909836,15 min
internet time waste,Wasted Time,1558426858523,Tue May 21 13:50:58 GMT+05:30 2019,1558433230134,Tue May 21 15:37:10 GMT+05:30 2019,6371611,1 h 46 min
wasting time ,Wasted Time,1558433230134,Tue May 21 15:37:10 GMT+05:30 2019,1558436993952,Tue May 21 16:39:53 GMT+05:30 2019,3763818,1 h 2 min
internet time waste,Wasted Time,1558436993952,Tue May 21 16:39:53 GMT+05:30 2019,1558438240815,Tue May 21 17:00:40 GMT+05:30 2019,1246863,20 min
wasting time ,Wasted Time,1558438240815,Tue May 21 17:00:40 GMT+05:30 2019,1558439800815,Tue May 21 17:26:40 GMT+05:30 2019,1560000,26 min
qns,studying,1558439800815,Tue May 21 17:26:40 GMT+05:30 2019,1558441545604,Tue May 21 17:55:45 GMT+05:30 2019,1744789,29 min
internet time waste,Wasted Time,1558441545604,Tue May 21 17:55:45 GMT+05:30 2019,1558450141760,Tue May 21 20:19:01 GMT+05:30 2019,8596156,2 h 23 min
qns,studying,1558450141760,Tue May 21 20:19:01 GMT+05:30 2019,1558450276458,Tue May 21 20:21:16 GMT+05:30 2019,134698,2 min
Eating,Eating,1558450276458,Tue May 21 20:21:16 GMT+05:30 2019,1558451340293,Tue May 21 20:39:00 GMT+05:30 2019,1063835,17 min
Eating,Eating,1558451340293,Tue May 21 20:39:00 GMT+05:30 2019,1558451568018,Tue May 21 20:42:48 GMT+05:30 2019,227725,3 min
internet time waste,Wasted Time,1558451568018,Tue May 21 20:42:48 GMT+05:30 2019,1558454328018,Tue May 21 21:28:48 GMT+05:30 2019,2760000,46 min
qns,studying,1558454328018,Tue May 21 21:28:48 GMT+05:30 2019,1558455166999,Tue May 21 21:42:46 GMT+05:30 2019,838981,13 min
